#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## alpha: "alpha" in the cutoff power-law model (equation below).
## alpha_low: The lower limit of "alpha" (90% confidence region).
## alpha_hi: The upper limit of "alpha" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## Epeak: "Epeak" in the cutoff power-law model (equation below).
## Epeak_low: The lower limit of "Epeak" (90% confidence region).
## Epeak_hi: The upper limit of "Epeak" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## norm_low: The lower limit of "norm" (90% confidence region). 
## norm_hi: The upper limit of "norm" (90% confidence region).
## chi2: chi^2 from the fitting, reported by XSPEC.
## reduced_chi2: reduced chi^2 reported by XSPEC.
## null_prob: The null probability of the model, reported by XSPEC.
## enrom: The normalization energy in the cutoff power-law model (eaution below). "enorm" is set to 50 keV in all analyses.
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## Note -- Cutoff power-law (CPL) equation: f = norm*((E/enorm)^{alpha})*(exp(-E(2+alpha)/Epeak))
#####################################################################################
#####################################################################################
GRBname | Trig_ID | alpha | alpha_low | alpha_hi | Epeak | Epeak_low | Epeak_hi | norm | norm_low | norm_hi | chi2 | dof | reduced_chi2 | null_prob | enorm | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB200107B   |    948219    | -1.398810e+00 | -1.499510e+00 | -1.080260e+00 | 9.999200e+03 | 0.000000e+00 | 0.000000e+00 | 2.922200e-03 | 2.759830e-03 | 4.105020e-03 | 51.64 | 56 | 0.905789 | 6.40e-01 | 50.0000 | 106.9 | -29.856000 | 77.036000 |  
GRB191228A   |    946476    | -1.784320e+00 | -2.111950e+00 | -1.188910e+00 | 3.766670e+01 | 5.022500e+00 | 0.000000e+00 | 1.478760e-03 | 8.456430e-04 | 3.186520e-03 | 51.82 | 56 | 0.919649 | 6.34e-01 | 50.0000 | 230.6 | -39.348000 | 191.284000 |  
GRB191227A   |    946344    | -1.244250e+00 | -1.322540e+00 | -1.099940e+00 | 9.180300e+02 | 0.000000e+00 | 0.000000e+00 | 1.930020e-02 | 1.794040e-02 | 2.184460e-02 | 51.49 | 56 | 0.897544 | 6.46e-01 | 50.0000 | 136.5 | -30.560000 | 105.920000 |  
GRB191221B   |    945521    | -9.931900e-01 | -1.174000e+00 | -8.047430e-01 | 2.453490e+02 | 1.631250e+02 | 7.595900e+02 | 2.167740e-02 | 1.815050e-02 | 2.606390e-02 | 38.63 | 56 | 0.767895 | 9.63e-01 | 50.0000 | 112 | -15.280000 | 96.720000 |  
GRB191220A   |    945344    | 3.132920e-01 | -1.606600e+00 | 5.287870e+00 | 3.435840e+01 | 2.564740e+01 | 5.304620e+01 | 1.510500e-02 | 0.000000e+00 | 2.452030e+01 | 53.71 | 56 | 0.994211 | 5.62e-01 | 50.0000 | 250.9 | -2.464000 | 248.416000 |  
GRB191218A   |    944916    | -9.790570e-01 | -1.162690e+00 | -5.884880e-01 | 4.558260e+02 | 0.000000e+00 | 0.000000e+00 | 1.861040e-02 | 1.569670e-02 | 2.649820e-02 | 64.12 | 56 | 1.13228 | 2.13e-01 | 50.0000 | 46.26 | -0.232000 | 46.032000 |  
GRB191213A   |    944091    | -1.488170e+00 | -2.108190e+00 | -1.980540e+00 | 9.998900e+03 | N/A | N/A | 1.573050e-03 | N/A | N/A | 79.87 | 56 | 1.40105 | 1.98e-02 | 50.0000 | 144.6 | -33.524000 | 111.068000 |  
GRB191130A   |  03110538005 | -1.427730e+00 | -1.940040e+00 | -8.367870e-01 | 4.590040e+01 | 3.050670e+01 | 1.195910e+02 | 6.743480e-03 | 3.506190e-03 | 1.459980e-02 | N/A | N/A | N/A | 9.186729e-01 | 50.0000 | 22.05 | 0.000000 | 22.052000 |  
GRB191123A   |    939079    | -9.455130e-01 | -1.532500e+00 | 8.367260e-01 | 5.787640e+01 | 4.238910e+01 | 0.000000e+00 | 1.035620e-03 | 0.000000e+00 | 1.278010e-02 | 51.48 | 56 | 0.9193 | 6.464880e-01 | 50.0000 | 339 | -3.048000 | 335.968000 |  
GRB191122A   |    938899    | -1.172710e+00 | -1.443950e+00 | -8.836990e-01 | 8.488420e+01 | 6.995940e+01 | 1.272970e+02 | 6.024310e-03 | 4.452680e-03 | 8.327800e-03 | 62.38 | 56 | 1.114 | 2.598445e-01 | 50.0000 | 207.2 | -11.120000 | 196.104000 |  
